effector_pop,total_tumor_pop,days
1000.0,100000.0,1
1113.1964578201087,104920.85397311478,2
1249.8055764406008,110042.06348478093,3
1417.5525646621072,115357.3931580857,4
1622.9890306222715,120863.44130917572,5
1877.1321570389969,126546.66543816609,6
2197.238969842216,132379.3654084177,7
2606.8063381738925,138319.68344653732,8
3135.570974388019,144311.6041423774,9
3819.243494874641,150284.34053891603,10
4706.152369807872,156136.4364250984,11
5875.9079442363045,161703.2977803432,12
7436.951052603518,166746.37274699943,13
9525.81700716764,170952.73099512584,14
12307.13559800134,173935.06372249057,15
15973.631092991836,175231.68365457145,16
20746.12223784089,174306.52504455598,17
26832.533159806553,170622.97358855058,18
34398.77590156011,163663.35925365234,19
43424.67203045558,153268.1558982262,20
53590.34051345837,139888.0356661433,21
64284.3148489569,124567.90747252757,22
74775.48341189185,108649.62435121796,23
84384.60177709711,93489.13685107874,24
92622.56315656028,80120.86999059335,25
99216.23752048473,69198.15815992167,26
104146.95417769635,60918.36015064751,27
107655.47049370968,54970.21301286582,28
109994.58023563551,50989.81912553804,29
111433.6221124848,48567.98703385296,30
112218.55354824263,47308.7377979434,31
112554.65405740168,46876.08344958256,32
112541.69788934324,47112.732174937184,33
112299.05337536042,47821.32185448686,34
111917.8105754497,48849.21861032463,35
111459.04539768114,50093.829259065504,36
110964.9321038786,51482.55828603535,37
110469.65054124805,52954.977431258376,38
110000.6201963183,54460.51736731968,39
109579.56654435069,55956.398318028354,40
109227.35663286076,57399.45473054718,41
108963.1048448136,58747.34939367795,42
108804.78343500735,59957.24858542518,43
108770.9242569315,60982.8292875404,44
108880.00649178712,61775.16173672883,45
109150.04733080344,62283.27042312925,46
109598.00394198076,62455.39001295945,47
110238.87390417859,62240.70592357322,48
111084.08751046727,61592.538591216755,49
112138.90915833332,60474.106932047354,50
113401.16715177591,58861.40741364018,51
114858.82082832325,56748.867969367966,52
116488.39113036745,54154.015472566614,53
118254.65824928129,51119.24801008775,54
120111.32945125605,47711.775220452946,55
122002.99553836072,44021.589751627806,56
123871.12903457094,40150.80096049749,57
125656.03736738392,36210.03361577583,58
127303.18835103803,32306.78890806976,59
128767.63476119937,28535.855846529514,60
130016.10643016596,24974.176591584055,61
131027.67475687622,21678.92578946529,62
131794.88919579983,18683.675355573967,63
132319.9681932366,16004.128127776998,64
132613.7638079756,13639.635480254545,65
132693.70394717788,11576.446703004416,66
132580.23556451424,9793.054981182824,67
132294.95632090542,8264.277295070506,68
131860.1409059467,6962.285602018755,69
131297.59404306044,5858.350528256612,70
130626.48996464032,4926.314538126644,71
129864.25842768162,4142.097729341205,72
129026.74381129055,3483.6207438495917,73
128127.90379224988,2931.138794372128,74
127179.12927626519,2468.2249726261766,75
126190.29395790209,2080.6341630979055,76
125169.97074712499,1755.9644082055797,77
124125.24858842077,1483.8796780570372,78
123061.99073251947,1255.7788585376995,79
121985.15031574974,1064.3749694004696,80
120898.82693539023,903.6058067815892,81
119806.42601599259,768.4003348341327,82
118710.70702012308,654.6586813097712,83
117613.93566839895,558.9678716426585,84
116518.30606532659,477.9880514202067,85
115425.57396047076,409.026249914601,86
114337.02882280748,350.0805949311685,87
113253.49384072397,299.8403128083779,88
112175.3295388137,257.6803651411729,89
111103.36976751681,222.26655009474243,90
110038.57051419662,192.05998647868924,91
108981.36326012839,166.2961207827593,92
107932.12553848207,144.29227331347647,93
106891.1809343221,125.44763819414268,94
105858.79908097285,109.24328737260822,95
104835.17052069031,95.27050110103181,96
103820.40531564635,83.22924007764348,97
102814.59624635443,72.84840582101037,98
101817.81702326414,63.88609063402203,99
100830.12228676112,56.12957760389036,100
99851.54760716717,49.39534060214974,101
98882.10752938999,43.53037790662091,102
97921.78744767152,38.42100456044237,103
96970.56088506109,33.97158135301497,104
96028.39654775764,30.094875907165793,105
95095.25832790449,26.712057675693416,106
94171.10530358944,23.752697941367888,107
93255.89173884472,21.15476981693074,108
92349.56671469261,18.8650128893754,109
91452.06801814042,16.845065921772406,110
90563.32845539524,15.064387932236052,111
89683.28052653227,13.494439818766327,112
88811.85586718057,12.109142897606457,113
87948.9852485229,10.884878903242893,114
87094.59857729598,9.800489988405332,115
86248.6248957903,8.837278724066703,116
85410.99237782818,7.9790110026097505,117
84581.62715070252,7.212876990114988,118
83760.45357438216,6.529221912674315,119
82947.39644524973,5.919125490301549,120
82142.3808460218,5.374363496942906,121
81345.33214574898,4.8874077604770125,122
80556.17599981587,4.451426162714894,123
79774.83834994101,4.0602826393999845,124
79001.245424177,3.7085371802081246,125
78235.32373691039,3.391445828747557,126
77476.99989158908,3.105051893724892,127
76726.20037182567,2.8463401638010377,128
75982.85231699477,2.6126164872892095,129
75246.88344314032,2.401374910355936,130
74518.22203707742,2.2102989413661103,131
73796.7969563924,2.0372615508829868,132
73082.53762944276,1.8803251716681855,133
72375.37405535721,1.7377416986816883,134
71675.2368040357,1.607952489081841,135
70982.05701614928,1.489588362225353,136
70295.76639072802,1.381468562026993,137
69616.29701886744,1.2826053385543024,138
68943.58168314166,1.1921881541924388,139
68277.55382057664,1.1094710907932184,140
67618.1474634593,1.033757090138103,141
66965.2972393377,0.9643979539382007,142
66318.93837102083,0.9007943438342667,143
65679.00667657878,0.842395781396702,144
65045.43856934266,0.7887006481255545,145
64418.1710579046,0.7392561854505182,146
63797.14174611776,0.6936584947309336,147
63182.28883309637,0.6515525372557877,148
62573.55111269938,0.6126320698095272,149
61970.867821334934,0.5766177167175717,150
61374.17890115363,0.5432715207844622,151
60783.42500481989,0.5123882315874355,152
60198.54732579253,0.48377420426726925,153
59619.487598324755,0.45724739952828086,154
59046.18809746413,0.43263738363832865,155
58478.59163905263,0.40978532842881144,156
57916.64157972662,0.3885440112946683,157
57360.281816916846,0.36877781519437897,158
56809.45678884842,0.35036272864996354,159
56264.11147454088,0.33318634574698264,160
55724.19139380813,0.3171478661345373,161
55189.642607258436,0.3021580950252691,162
54660.411716294504,0.2881394431953601,163
54136.4458461107,0.27502520273296116,164
53617.69232893018,0.262741599734122,165
53104.09940962881,0.25122858776881946,166
52595.61599944967,0.2404359576100495,167
52092.191467441895,0.23031588173098305,168
51593.77564046072,0.22082291430496598,169
51100.31880316742,0.21191399120551893,170
50611.77169802938,0.2035484300063376,171
50128.085525320035,0.19568792998129253,172
49649.211943118906,0.18829657210442918,173
49175.103067311604,0.18134081904996796,174
48705.71147158977,0.17478951519230412,175
48240.99018745116,0.16861388660600785,176
47780.89270419961,0.16278754106582433,177
47325.37296894499,0.15728646804667357,178
46874.38538660328,0.15208903872365045,179
46427.88481989653,0.14717600597202488,180
45985.826589352844,0.14253050436724163,181
45548.166473306424,0.1381380501849203,182
45114.86070566165,0.1339865270062833,183
44685.864763398335,0.1300572044457411,184
44261.13519055843,0.12633286603905117,185
43840.63012219688,0.12280373717387914,186
43424.30803981495,0.1194603612653434,187
43012.12777136019,0.11629359975601511,188
42604.048491226466,0.11329463211591816,189
42200.02972025394,0.11045495584252923,190
41800.03132572909,0.10776638646077774,191
41404.013521384695,0.10522105752304593,192
41011.93686739983,0.10281142060916872,193
40623.76227039989,0.10053024532643383,194
40239.45098345656,0.09837061930958177,195
39858.964606087844,0.09632594822080576,196
39482.26508425803,0.09438995574975184,197
39109.31471037773,0.09255668361351874,198
38740.07612330386,0.09082049155665801,199
38374.512308339625,0.08917605735117397,200
38012.58659723454,0.08761837679652362,201
37654.26266818445,0.08614276371961685,202
37299.50454583146,0.08474484997481618,203
36948.27660126402,0.08342058544393696,204
36600.54355201687,0.08216623803624731,205
36256.27046207103,0.08097839368846813,206
35915.42274185387,0.07985395636477301,207
35577.96614823904,0.07879014805678833,208
35243.86678454648,0.07778450878359329,209
34913.09110054247,0.07683489659171974,210
34585.60589243958,0.07593948755515242,211
34261.37830289666,0.07509677577532878,212
33940.3758210189,0.07430557338113897,213
33622.566196243075,0.07356488317317063,214
