subclone_1,subclone_2,subclone_3,subclone_4,total_tumor,days
29536.0,28367.0,25896.0,16201.0,100000.0,1
30354.616571608778,29070.447217656652,26032.87925214636,16630.889304714543,102088.83234612634,2
31195.57768725835,29772.92162453424,25492.71278089683,17070.476723434,103531.68881612341,3
32059.567201800757,30470.003768338654,23618.48018657634,17519.890495390693,103667.94165210644,4
32947.3574806575,31156.17200466256,19744.709885282944,17979.282827257222,101827.52219786022,5
33859.79179316204,31824.53765442241,14075.476037560722,18448.817603100924,98208.62308824608,6
34797.64897134663,32466.36675462184,8347.028970567539,18928.593311760247,94539.63800829626,7
35761.54750364949,33070.656137345126,4258.686313533265,19418.588301752246,92509.47825628013,8
36752.0260082724,33623.76464620419,1988.1775646757728,19918.701362950727,92282.66958210309,9
37769.654047460695,34109.10527481451,888.7503089258275,20428.80848766808,93196.31811886911,10
38815.075418287735,34506.740779910506,392.6734736713546,20948.78164967933,94663.27132154893,11
39888.99517949826,34793.03657839123,172.32410370298214,21478.476658705033,96332.8325202975,12
40992.162732323945,34940.497591923,75.97394284306475,22017.71828568546,98026.35255277547,13
42125.361186865855,34917.98609280539,33.78042317089216,22566.28819445199,99643.41589729412,14
43289.403394799774,34691.54155053356,14.747246022695997,23123.915789705814,101119.60798106185,15
44485.13104194152,34226.08012564748,6.747548868164629,23690.26987082052,102408.2285872777,16
45713.4140884679,33488.22058810134,3.2551466828086433,24264.949586235016,103469.83940948707,17
46975.151381865704,32450.325994011248,1.5926009213447312,24847.47503142659,104274.54500822487,18
48271.27048738946,31095.704261091418,0.7320417286921816,25437.276161168782,104804.98295137836,19
49602.72679244203,29424.150221499953,0.33909303558912096,26033.680265748713,105060.89637272629,20
50970.50165413773,27456.751589337953,0.15928834184603954,26635.897504809298,105063.31003662683,21
52375.59968581571,25238.33581636493,0.07201049323542558,27243.00458180166,104857.01209447553,22
53819.04537740528,22836.02818609264,0.033764398501851124,27853.92647116009,104509.03379905652,23
55301.87967429231,20333.3940884384,0.015606846909274183,28467.416646941896,104102.70601651951,24
56825.15724094449,17820.944895386867,0.008490310445914634,29082.035893295346,103728.14651993715,25
58389.94495842404,15385.12120380587,0.0,29696.13001931772,103471.19618154762,26
59997.322984651015,13104.619024322215,0.0,30307.76632751093,103409.70833648415,27
61648.38137913789,11029.123659219113,0.0,30914.80357763995,103592.30861599695,28
63344.22704553718,9176.01088714014,0.0,31514.878299328208,104035.11623200553,29
65085.99191071195,7554.044389044309,0.0,32105.24409671354,104745.28039646981,30
66874.83299456007,6163.642007356824,0.0,32682.76988096031,105721.24488287722,31
68711.9324100143,4996.875745969104,0.0,33243.93987025939,106952.74802624279,32
70598.49736304219,4037.471770238775,0.0,33784.85358982819,108420.82272310916,33
72535.76015264617,3260.810406989667,0.0,34301.22587191063,110097.79643154646,34
74524.9781708635,2633.926144511821,0.0,34788.386855777164,111947.29117115248,35
76567.4379468823,2120.0151722560468,0.0,35241.245953486905,113928.69907262526,36
78664.47503486395,1703.7568932387157,0.0,35654.08701985996,116022.31894796263,37
80817.45129602295,1369.451766338306,0.0,36020.771224075266,118207.67428643652,38
83027.75742347338,1101.7878166101798,0.0,36334.75610330539,120464.30134338894,39
85296.81432590967,887.2204644642652,0.0,36589.08637917258,122773.1211695465,40
87626.07530611884,714.723261644894,0.0,36776.47396278528,125117.27253054902,41
90017.0267443347,576.5490634241726,0.0,36889.29695674264,127482.87276450152,42
92471.18534191756,466.1043371491473,0.0,36919.91462639558,129857.20430546229,43
94990.09835350861,377.61174307757335,0.0,36860.78932972598,132228.49942631216,44
97575.34389444663,306.4350156849639,0.0,36704.58040783467,134586.35931796627,45
100228.53072869484,249.3860703408381,0.0,36444.420995415974,136922.33779445165,46
102951.29492347612,202.89445247053268,0.0,36074.13908680898,139228.32846275563,47
105745.30082764548,164.56654937219076,0.0,35589.00091677474,141498.86829379242,48
108612.24120600404,133.33156006722547,0.0,34985.75768094643,143731.33044701768,49
111553.83575601241,108.96050819463372,0.0,34262.71463474097,145925.510898948,50
114571.82289597945,89.35190763996553,0.0,33420.40905718538,148081.5838608048,51
117667.96293911505,73.44733581478724,0.0,32461.82127426983,150203.23154919967,52
120844.03087808691,60.54089568270791,0.0,31392.500515506377,152297.072289276,53
124101.8153645214,50.0155679148352,0.0,30220.593571147263,154372.4245035835,54
127443.11613577623,41.36498603009301,0.0,28956.739228347902,156441.22035015424,55
