total_pop,unique_pop,neoantigen_1,neoantigen_2,neoantigen_3,AxR_vals
100000.0,229.0,0.0,0.0,0.0,0.0
34785.0,0.0,1.0,0.0,0.0,20.7313050730804
20220.0,733.0,1.0,1.0,0.0,20.7313050730804
13206.0,0.0,0.0,0.0,1.0,5.73390121328529
