subclone_1,subclone_2,subclone_3,subclone_4,total_tumor,days
7651.0,17758.0,59857.0,14734.0,100000.0,1
7707.03665660449,17875.85134356608,60208.70095304942,14783.05815294577,100574.64710616576,2
7763.4805087446775,17993.816951379238,60544.733552479054,14823.606041630792,101125.63705423375,3
7820.334647612692,18111.87728516,60861.733355072916,14854.630703956493,101648.57599180209,4
7877.6021957887315,18230.01215574629,61155.97692562932,14874.988784794186,102138.58006195854,5
7935.286340880447,18348.200658441965,61422.928913816446,14883.436770733182,102589.85268387204,6
7993.390347704879,18466.42114498289,61657.10700598505,14878.649205942094,102995.56770461492,7
8051.917558288458,18584.651223536956,61852.08192516852,14859.218692168826,103347.86939916277,8
8110.871391867006,18702.86775870405,62000.47743108281,14823.655888740586,103637.87247039445,9
8170.255344885737,18821.04687151609,62093.9703201265,14770.389512563877,103855.6620490922,10
8230.07299328836,18939.1639183884,62123.676492338345,14697.815961749633,103990.72936576472,11
8290.328028452404,19057.19332526592,62082.27262059559,14604.63041020038,104034.42438451429,12
8351.024262879644,19175.109057338585,61954.16188962361,14488.734249831376,103969.02945967321,13
8412.165667031824,19292.884350923727,61721.90159668231,14348.070978038551,103775.02259267641,14
8473.756378958096,19410.49161150286,61368.28646899869,14180.8881016026,103433.42256106225,15
8535.800704295027,19527.902413721695,60876.34866376681,13985.737136688991,102925.78891847252,16
8598.303116266592,19645.087501390128,60229.357768147784,13761.473608847959,102234.22199465246,17
8661.26825568418,19762.016787482244,59410.82079926981,13507.25705301451,101341.36289545073,18
8724.700930946592,19878.65935413632,58404.48220422814,13222.551013508419,100230.39350281947,19
8788.606118040043,19994.98345265483,57194.323860085104,12907.123044034231,98885.0364748142,20
8852.988960538154,20110.956503504432,55764.56507387009,12561.044707681263,97289.55524559395,21
8917.854582743672,20226.544463926264,54102.34698790808,12184.644916546806,95431.39095112482,22
8983.208384290723,20341.712338147943,52202.83844419974,11779.162134372073,93306.92130101049,23
9049.056323732322,20456.425245864186,50066.0103411538,11346.853008404769,90918.34491915508,24
9115.40415803551,20570.64627323935,47700.96758144742,10890.386080391965,88277.40409311425,25
9182.25742487429,20684.3364194689,45126.09467137515,10412.830545565273,85405.5190612836,26
9249.621442629614,20797.454596779393,42369.055720848904,9917.656252640847,82333.78801289876,27
9317.501310389398,20909.957630428496,39466.79444339797,9408.733703819385,79102.98708803525,28
9385.901907948515,21021.800258704978,36465.53415616906,8890.334054786135,75763.57037760867,29
9454.827895808789,21132.935132928695,33420.77777992618,8367.129114710884,72375.66992337455,30
9524.283715179203,21243.31281745082,30397.30782730089,7844.191345745924,69009.09570567684,31
9594.273618984136,21352.881614892176,27450.741264024182,7326.284237135655,65724.18073503615,32
9664.801028538714,21461.586248362724,24614.43330007405,6817.4566309451875,62558.27720792068,33
9735.868932628944,21569.368849299808,21921.54366794388,6321.609087222611,59548.39053709524,34
9807.480264417718,21676.16954961012,19398.406656157884,5842.112301812157,56724.16877199788,35
9879.637901444796,21781.926481669703,17064.531109271113,5381.807106354196,54107.902598739805,36
9952.344665626815,21886.57577832393,14932.600427869442,4943.00446828524,51714.52534010543,37
10025.603323257285,21990.051572887547,13008.472568569596,4527.485490837944,49551.61295555237,38
10099.416585006587,22092.285999144624,11291.180044019111,4136.501413041105,47619.38404121143,39
10173.787105921983,22193.209191348582,9772.929922896372,3770.773609719655,45910.69982988659,40
10248.717481619375,22292.749271518143,8439.14491071273,3430.4947346461404,44411.106398496384,41
10324.210275684083,22390.83223759821,7271.973960294994,3115.3594889038786,43102.375962481165,42
10400.268473711621,22487.383019352357,6255.333839565074,2824.665932143235,41967.65126477229,43
10476.895221230516,22582.324908985083,5373.827325417937,2557.535472963417,40990.58292859696,44
10554.093712861526,22675.57926445553,4612.744921948421,2312.9514799713224,40155.36937923679,45
10631.867192317655,22767.06550947747,3958.0648604512353,2089.7592817815384,39446.75684402791,46
10710.21895240414,22856.70113351933,3396.4530994209654,1886.6661670163414,38850.03935236078,47
10789.15234500456,22944.40171447239,2915.274525695327,1702.2456526819362,38351.07423785422,48
10868.671035624358,23030.081466578988,2503.0873661368587,1535.0870067038763,37936.92687504408,49
10948.778828872017,23113.652819537252,2149.977549428381,1383.8543326190802,37596.26353045673,50
11029.479564046906,23195.02626412674,1847.3026350245937,1247.2521279785549,37319.06059117679,51
11110.777164165442,23274.110475227015,1587.7019903831595,1124.0406633815364,37096.630293157155,52
11192.675635961086,23350.81231181763,1365.0967909647009,1013.0359824754927,36921.62072121891,53
11275.179069884349,23425.036816978143,1174.6900202328025,913.1099019561201,36788.015809051416,54
11358.291627053299,23496.687212660043,1012.6591586060723,823.1887512572152,36690.82674957663,55
11442.017440176132,23565.6648951753,872.9820409172175,742.2762655281597,36622.94064179681,56
11526.360904597039,23631.869709892908,753.468414727205,669.5219523970761,36581.22098161423,57
11611.32647480284,23695.199936524874,652.7055408419794,604.1439496438846,36563.375901813575,58
11696.918594839652,23755.55226207839,568.6443428780933,545.4143302440581,36566.529530040185,59
11783.141698312882,23812.82178085582,498.5994072627068,492.65910236862163,36587.221988800025,60
11870.000208387235,23866.90199445473,439.2489832335881,445.2582093841534,36621.409395459705,61
11957.498537786705,23917.684811767867,386.6349828391126,402.64552985278357,36664.46386224647,62
12045.641165497877,23965.06082963908,337.3327174412252,364.3101726895696,36712.344885267754,63
12134.43300792422,24008.92058775794,294.04096622179895,329.8157151238087,36767.21027702777,64
12223.878836890286,24049.15287843323,256.6316542514995,298.78213908993763,36828.445508664954,65
12313.983418181951,24085.645798551388,224.32213223980128,270.8587708168002,36894.81011978994,66
12404.751558677748,24118.286947738496,196.3988955291988,245.7234189280596,36965.1608208735,67
12496.188106348864,24146.96342836028,172.21758409520712,223.08237444219878,37038.451493246546,68
12588.297950259135,24171.561845522094,151.20298254636148,202.67041077252028,37113.733189100116,69
12681.086022036194,24191.96847189307,132.859654814155,184.25092823904504,37190.16507698246,70
12774.557306859362,24208.070085523683,116.85495877282337,167.62114265735056,37267.10349381322,71
12868.716831123253,24219.753197511258,102.90749732224927,152.6054464463241,37343.982972403086,72
12963.569661559939,24226.905278901017,90.75369029799595,139.04231753695194,37420.2709482959,73
13059.120906271037,24229.41495723684,80.15379533674086,126.78361470396982,37495.47327354859,74
13155.375714727712,24227.172016561242,70.89190787627545,115.69457756586247,37569.134216731094,75
13252.339277770678,24220.067397415398,62.775961155505314,105.65382658486396,37640.83646292645,76
13350.016828043726,24207.993476255157,55.63858177727579,96.55293181220092,37710.20181788836,77
13448.413643706223,24190.845542934803,49.35396774596818,88.296598597166,37776.90975298416,78
13547.535044665321,24168.519609965195,43.82727988567266,80.8058726747964,37840.68780719098,79
13647.386393068224,24140.915030768076,38.97093832081674,74.00834223030267,37901.28070438741,80
13747.973093812672,24107.935009227054,34.70371021324668,67.83688881491987,37958.44870206789,81
13849.300594546945,24069.486599687592,30.95070976222749,62.229687345907735,38011.96759134267,82
13951.374385669858,24025.480706957027,27.643398204442953,57.13020610655056,38061.62869693788,83
14054.200000330766,23975.832086304537,24.719583813995634,52.48720674615721,38107.23887719545,84
14157.783014429557,23920.45934346118,22.123421902406832,48.25474428006121,38148.62052407321,85
14262.129048866156,23859.28680765623,19.811339457027742,44.39252958541214,38185.61972556482,86
14367.243769520986,23792.244672640205,17.75684662703647,40.86730851941216,38218.11259730764,87
14473.132883926835,23719.267376391366,15.932840321777789,37.649330704147445,38245.98243134413,88
14579.802144659876,23640.296845693356,14.313970688897763,34.71082924410547,38269.123790286234,89
14687.257349376237,23555.282527900516,12.87670770000624,32.02601744713818,38287.4426024239,90
14795.504340812004,23464.181390937883,11.599341150676853,29.57108882446194,38300.85616172503,91
14904.549006783212,23366.957923301205,10.46198066044703,27.324217090657573,38309.293127835525,92
15014.397280185858,23263.584134056917,9.446555672817984,25.265556163670336,38312.69352607927,93
