maxNAquality,axr_weighted_anteginicity,num_subclones,tree_index,is_clonal_neoant
408.798327085487,86.53583756633489,2.0,0.4480543336358858,1.0
169.183482103694,71.6058518344055,3.0,0.3430032410308122,1.0
48.5149887411471,48.5149887411471,1.0,0.323585027341589,1.0
2028.92671806277,2028.92671806277,1.0,0.4194387688390674,1.0
2434.10482322203,559.7265885553761,3.0,0.40875351888651273,1.0
78.7554806526715,28.55143691868548,4.0,0.3955533960351016,1.0
258.876744306022,84.54295481311908,5.0,0.37126310095001697,1.0
748.85040441055,154.3939776391734,3.0,0.29410568753351113,1.0
1726.85430101178,1029.2858607962373,2.0,0.4113443396829657,0.0
1375.49438140798,1375.49438140798,1.0,0.2719603034056945,1.0
122.890487374464,122.89048737446399,1.0,0.32609893199340845,1.0
113.981304887846,66.01512775040679,3.0,0.3759766527632745,1.0
325.525768004034,92.6590717134442,2.0,0.33617559322520285,1.0
174.891175338575,45.944047750832226,5.0,0.45013831918433733,0.0
41.5864843778729,15.696607416845557,5.0,0.37430644457052603,1.0
67.7946860134887,44.732869563397585,3.0,0.4376903009414012,1.0
40.1836249902031,12.771920911557903,3.0,0.3262816352934314,1.0
404.409516267178,404.409516267178,1.0,0.2946247517696226,1.0
471.540969360377,471.54096936037695,1.0,0.34990443804956495,1.0
878.893913341245,137.0386569323359,4.0,0.4167846228782452,1.0
73.8166083137936,26.40085988289199,3.0,0.3573425298828413,1.0
30.6358396477487,13.926936686063833,4.0,0.4826393438996995,0.0
442.699538650302,118.26491169138903,4.0,0.39971236419158657,1.0
41.0076655730775,30.602367219493306,2.0,0.45317170215035163,1.0
889.46350191981,203.62042374854477,2.0,0.5013708456246326,0.0
5.94407945544274,5.302466761418949,2.0,0.3726531222710373,1.0
421.566534802401,79.89806214001042,2.0,0.3173468927795396,1.0
43.8976911678755,43.8976911678755,1.0,0.29833132655608147,1.0
29.2640184845862,24.765896570299343,2.0,0.5168437547927281,0.0
2048.18761397984,624.7044734066269,2.0,0.3479623276857939,1.0
17.1750012472271,13.445464259884822,2.0,0.2938436727873663,1.0
344.486910818836,67.81378041105576,4.0,0.37924322475752137,1.0
520.582625951566,95.58717393371954,3.0,0.3363060375419272,1.0
525.066392381247,261.78220091867627,2.0,0.39113340727390056,1.0
521.789789636276,120.67374516238061,4.0,0.44349241077221624,1.0
51.8118505474514,28.203519494095808,2.0,0.52030405252564,0.0
106.287156090766,62.13738322845185,4.0,0.5121205034430101,0.0
585.887878146132,82.5702199102028,4.0,0.3097043672891742,1.0
221.32813438528,221.32813438528,1.0,0.29131682050335816,1.0
268.574255286181,56.77951301814003,3.0,0.3427737625430332,1.0
1635.66311518839,1635.66311518839,1.0,0.3437432388602227,1.0
61.5909850054304,20.040572156534925,6.0,0.3655620984599652,1.0
760.71650728533,108.12931217111638,4.0,0.303864309758059,1.0
13.2928077171642,12.356384603031726,2.0,0.3646420609904325,1.0
25.2946715743172,25.2946715743172,1.0,0.403778759146472,1.0
1780.06806377763,548.9468302229291,3.0,0.40316104095360916,1.0
56.7896741756033,14.902788599045607,3.0,0.4595523034829447,1.0
63.1396197496188,15.637193923434685,6.0,0.5552294804527769,0.0
794.264627622717,100.07515470857659,4.0,0.4169522402180755,1.0
467.164995953222,110.54180719200403,2.0,0.41467996521869005,1.0
268.022915855964,268.022915855964,1.0,0.397800362183104,1.0
69.0194682701352,34.273954414704335,2.0,0.28760151984902443,1.0
33.504655410598,33.504655410598,1.0,0.2606861773751444,1.0
304.640067252507,95.5282262133261,4.0,0.5222539545504513,0.0
28.2762211902111,28.276221190211096,1.0,0.4100081999991487,1.0
177.733726904285,25.919692190797235,3.0,0.421568460922842,1.0
49.2559830684271,12.752668592212375,3.0,0.33568085425543304,1.0
58.6489054207702,51.86879464993288,2.0,0.4167903469274363,1.0
2177.92629788589,1990.954979240873,2.0,0.3849042661605497,1.0
12.339933783801,12.339933783801,1.0,0.3571276915439041,1.0
562.19082477455,562.19082477455,1.0,0.3388804116867371,1.0
744.389228696878,435.6728142048503,2.0,0.534682088255435,0.0
395.879736125338,395.879736125338,1.0,0.2534476288181847,1.0
161.988980946505,66.78883922189445,3.0,0.4509240435303092,0.0
654.997307172548,654.997307172548,1.0,0.34041242893939005,1.0
112.551394640162,69.8453191226341,3.0,0.3259169465768956,1.0
219.193005744795,47.77946906239524,3.0,0.37641905070318077,1.0
284.463108952113,284.463108952113,1.0,0.4181723426294848,1.0
39.8572334485356,39.8572334485356,1.0,0.36840765451357743,1.0
83.6046248403294,13.826749276575498,4.0,0.41845349930835607,1.0
32.3585705587807,21.1830688150983,2.0,0.5320863911227532,0.0
283.993713602633,82.16848491783782,5.0,0.5208170617864901,0.0
44.4794116788783,22.770258790390074,3.0,0.420597889400775,0.0
41.1887211667081,41.1887211667081,1.0,0.38251731960779983,1.0
312.495058428768,125.70409198720176,5.0,0.5397121773327601,0.0
28.5682270618975,18.194799695715155,2.0,0.33924208220602003,1.0
21.8551814167054,12.924169329105922,3.0,0.4402576122681901,1.0
1020.98637083597,281.1474628853235,3.0,0.3396258697747607,1.0
181.009120102771,123.92386536213326,2.0,0.31544015776539325,1.0
195.186546028242,151.380259531906,3.0,0.48009293811335035,0.0
1398.42764248867,326.9430740391279,4.0,0.44416040653450395,1.0
66.118318708508,66.118318708508,1.0,0.3475709915035302,1.0
1942.35746747973,290.0278467937204,2.0,0.3248380532446041,1.0
1458.87991579387,1045.1333226218335,2.0,0.39903561330932313,1.0
50.6661718421615,32.19988617929265,3.0,0.33716400736924074,1.0
4.64603029420535,4.64603029420535,1.0,0.31222637947203913,1.0
190.190673843998,74.07030771020912,3.0,0.3500929962160824,1.0
561.836149339989,377.392163460829,4.0,0.548064220532524,0.0
279.433929202476,279.433929202476,1.0,0.4341133020832875,1.0
38.9451192687841,38.9451192687841,1.0,0.2788624682800032,1.0
1154.47024756807,307.11010114869026,2.0,0.3989552992752,1.0
404.463081874716,64.04563945120672,2.0,0.29076490896245577,1.0
37.7646008557847,34.71316897839488,2.0,0.3862064040299902,1.0
153.528063199272,153.528063199272,1.0,0.2660168054658852,1.0
573.714853844404,343.4378850512778,2.0,0.39368854526356034,1.0
12.6602541935388,12.6602541935388,1.0,0.3277334788711536,1.0
168.971490281826,76.75395085741573,3.0,0.3593646726420552,1.0
1946.23921928469,1946.23921928469,1.0,0.27177198969481875,1.0
18.5094546319957,6.221740982311281,2.0,0.4519227472558364,1.0
105.53216038518,46.645906776764036,3.0,0.38840193765765535,1.0
12.2038844520108,10.622779190738997,2.0,0.3673076469160524,1.0
359.165142910185,359.165142910185,1.0,0.41346647711629536,1.0
58.8487320366997,32.03899789357895,4.0,0.4943063003575047,0.0
221.744537984991,221.744537984991,1.0,0.4187846124525481,1.0
64.8071933865884,64.70092159237791,2.0,0.27013492678566897,1.0
469.435724699552,206.28032923149965,4.0,0.35755054754964594,1.0
2533.14532907138,1371.2886518271466,3.0,0.5224613711797889,0.0
1632.37552650876,1632.3755265087598,1.0,0.3920361078978285,1.0
12.9449274994493,11.207546701925837,2.0,0.42564256728259425,1.0
134.384949308132,134.384949308132,1.0,0.39940279630662734,1.0
26.7630095141563,14.235223169501467,4.0,0.4111150879086325,1.0
421.99959252559,421.99959252559,1.0,0.3303638659729142,1.0
310.6671533847,209.26800518224337,3.0,0.2733442465876877,1.0
145.735796183054,131.47812517207484,2.0,0.43399851349220786,0.0
6.38783468346124,6.38783468346124,1.0,0.3703569664345768,1.0
1090.95469247049,157.39099658661092,5.0,0.3426544645278127,1.0
384.710609326439,384.710609326439,1.0,0.4018398475805553,1.0
10.6545928464693,10.6545928464693,1.0,0.31958875971627243,1.0
20.4564112008272,20.4564112008272,1.0,0.34880500705473744,1.0
1785.8700491235,248.4263003261686,5.0,0.3299080064012846,1.0
141.844816807328,141.844816807328,1.0,0.3563057271730137,1.0
187.6513227518,110.04525863134356,2.0,0.422705565132568,1.0
569.90488934028,215.58046860964737,5.0,0.27826407064148556,1.0
155.915716299137,82.34008229222616,4.0,0.2834710047086063,1.0
638.798950420832,135.46342150421978,4.0,0.3739680265742967,1.0
