effector_pop,total_tumor_pop,days
1000.0,100000.0,1
1105.6861467093488,100798.32316057928,2
1227.3187731163734,101570.89318680755,3
1367.6444989704135,102311.75636197928,4
1530.3437339323486,103013.01626623649,5
1719.468215972029,103665.8902856847,6
1939.185385162153,104261.20284148422,7
2193.7783836782705,104789.3853898502,8
2487.646055798782,105240.47642205268,9
2824.7640030411426,105605.31095474478,10
3207.605850110901,105877.7919016403,11
3641.412974811157,106045.16421521564,12
4128.700524532118,106100.08722839243,13
4668.491213551102,106042.3283777711,14
5256.315323032537,105878.76320363104,15
5884.210701027952,105623.37534993056,16
6540.722762475995,105297.25656430684,17
7210.904489202415,104928.60669807601,18
7876.481948135831,104552.39454746016,19
8523.149004558809,104196.10703840453,20
9140.419066326745,103881.32673638767,21
9718.687839691538,103628.36868768965,22
10250.521205574909,103453.36762835707,23
10730.6552195684,103368.2779842033,24
11155.996111933382,103380.87387080825,25
11525.62028760104,103494.74909351852,26
11840.774326172392,103709.31714744735,27
12104.875234034009,104019.81077280671,28
12324.40874566588,104415.65225728713,29
12505.92876293372,104885.71783515146,30
12654.538984976776,105421.3258470058,31
12775.149425988311,106014.08794367642,32
12872.476415215619,106655.90908620966,33
12951.017060179325,107339.001299346,34
13014.478436290523,108056.77478723913,35
13065.802588207966,108803.99004516672,36
13107.672118151704,109575.87127535984,37
13142.526896108457,110368.07098920588,38
13172.548063919938,111176.69725149614,39
13199.35472613719,111998.80656463357,40
13224.423373778189,112831.66040955498,41
13249.06923031308,113672.81026571793,42
13274.340614460845,114520.2856980068,43
13301.018940189311,115372.59435673268,44
13329.69134178748,116228.58646120846,45
13361.268769175156,117086.48088616447,46
13396.391235503188,117944.97352997547,47
13435.60270962038,118802.92490187871,48
13479.429652002236,119659.21467255049,49
13528.381014750958,120512.74167410604,50
13582.939365932765,121362.43834898047,51
13643.512908418075,122207.34963630304,52
13710.503004264667,123046.51876350088,53
13784.318235110033,123878.95989456566,54
13865.37212098841,124703.66167351809,55
13954.08312033076,125519.58722440786,56
14050.87171941781,126325.67815147823,57
14156.149208376059,127120.87181096496,58
14270.336425627731,127904.07008905271,59
14393.868861088675,128674.12703646107,60
14527.196470022182,129429.84900099893,61
14670.783673038994,130169.99462756449,62
14825.109160059583,130893.27505292284,63
14990.660829335346,131598.35951919432,64
15167.940575003933,132283.8689301348,65
15357.46656048167,132948.36919069567,66
15559.772045577916,133590.37189034472,67
15775.405386495064,134208.33430306637,68
16004.930035828553,134800.65938736164,69
16248.923338831599,135365.69764438734,70
16507.97089844047,135901.75476625032,71
16782.6757427378,136407.07672170634,72
17073.646475303496,136879.8696528545,73
17381.49514595868,137318.30330854096,74
17706.83725076566,137720.51104435849,75
18050.29173202798,138084.58982264696,76
18412.4801644676,138408.60181223182,77
18794.007811650845,138690.61094204738,78
19195.48743493286,138928.6350998452,79
19617.513523301488,139120.6984548803,80
20060.649230835315,139264.85743014846,81
20525.42637670369,139359.20070238592,82
21012.34544516672,139401.84920206963,83
21521.875585575275,139390.95611341708,84
22054.446723350877,139324.72432500636,85
22610.414645403296,139201.48194884672,86
23190.10781102115,139019.5776810401,87
23793.76975300886,138777.51060847734,88
24421.54973405927,138473.95106862474,89
25073.502746753646,138107.740649524,90
25749.589513561677,137677.89218979227,91
26449.676486841454,137183.5897786222,92
27173.534840487653,136624.19158007184,93
27920.80079838006,135999.3333138065,94
28690.981950658257,135308.8964179901,95
29483.455836205452,134553.02720373168,96
