total_pop,unique_pop,neoantigen_1,neoantigen_2,neoantigen_3,neoantigen_4,neoantigen_5,neoantigen_6,neoantigen_7,AxR_vals
100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5280724900017
18269.0,1161.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.5280724900017
23928.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.5280724900017
36773.0,158.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.5280724900017
21030.0,289.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,107.271881325876
14871.0,296.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,13.5280724900017
13779.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,107.271881325876
