effector_pop,total_tumor_pop,days
1000.0,100000.0,1
1682.738479725993,100570.27553528821,2
3233.423187894653,99427.80030646909,3
6613.4005066961945,94628.14173382848,4
13085.761499693075,83574.64976442342,5
22946.039548538407,65489.770813352654,6
33208.526524872424,46055.81615782489,7
40582.77306836114,31747.537150762768,8
44393.42603972126,24058.76125651165,9
45930.1170018254,20644.31323321173,10
46345.0111103916,19353.3148821218,11
46266.993009526035,19004.627113944982,12
45983.81829724408,19056.74063864983,13
45617.488067130485,19279.9501153054,14
45219.04839485275,19578.159768795318,15
44809.739753358444,19911.4058923848,16
44398.44584490606,20262.99459264399,17
43988.88730861346,20625.95385673351,18
43582.620593822234,20997.386898883902,19
43180.29190293672,21376.11170070539,20
42782.16261766627,21761.672217488416,21
42388.33029819272,22153.922601011804,22
41998.82297060699,22552.849861303872,23
41613.6389002003,22958.499071435162,24
41232.76377727616,23370.941042510847,25
40856.175922220566,23790.253272261893,26
40483.85726327058,24216.536424536378,27
40115.7874771881,24649.86935333456,28
39751.94591078223,25090.343063183976,29
39392.31263334431,25538.049432763004,30
39036.86920886316,25993.07931273999,31
38685.59870434183,26455.52250561357,32
38338.485689797475,26925.467765712674,33
37995.51623826146,27403.002799196503,34
37656.677925779295,27888.21426405455,35
37321.95983141066,28381.187770106597,36
36991.3525372294,28882.007879002696,37
36664.84812832353,29390.758104223198,38
36342.44019279522,29907.52091107874,39
36024.26162480897,30431.992234355494,40
35710.54275191145,30963.603904188018,41
35401.20827973184,31502.649470644003,42
35096.183095928034,32049.424013720945,43
34795.401109930855,32604.19934881148,44
34498.805252944076,33167.22402670337,45
34206.347477944415,33738.72333357954,46
33917.988759681495,34318.89929101801,47
33633.69909467792,34907.93065599197,48
33353.4575012292,35505.972920869746,49
33077.25201940379,36113.15831341478,50
32805.07971104311,36729.595796785674,51
32536.946659761466,37355.37106953614,52
32272.867970946154,37990.546565615055,53
32012.86777175737,38635.16145436642,54
31756.979211128277,39289.23164052937,55
31505.244459764956,39952.74976423818,56
31257.71471014643,40625.68520102227,57
31014.450176524664,41307.98406180618,58
30775.520094924563,41999.56919290959,59
30541.002723143964,42700.34017604735,60
30310.985340753647,43410.17332832939,61
30085.564249097326,44128.92170226082,62
29864.84477129165,44856.41508574187,63
29648.941252226214,45592.46000206791,64
29437.977058563552,46336.83970992947,65
29232.084578739123,47089.314203412156,66
29031.40522296134,47849.620211996764,67
28836.089423211542,48617.47120055923,68
28646.296633244016,49392.55736937058,69
28462.195328585978,50174.54565409703,70
28283.963006537586,50963.07972579989,71
28111.786186171932,51757.77999093564,72
27945.86040833506,52558.24359135587,73
27786.390235645926,53364.04440430734,74
27633.589252496455,54174.73304243189,75
27487.680065051485,54989.83685376658,76
27348.894301248813,55808.85992174352,77
27217.47261079915,56631.283065190015,78
27093.66466518616,57456.56383832849,79
26977.729157666447,58284.13653077649,80
26869.93380326955,59113.41216754673,81
26770.555338797938,59943.77850904704,82
26679.879522827032,60774.600051080386,83
26598.201135705174,61605.218024844886,84
26525.823979553665,62434.95039693377,85
26463.060878266733,63263.091869335425,86
26410.233677511533,64088.91387943338,87
26367.67324472818,64911.664600006276,88
26335.719469129705,65730.56893922792,89
26314.454787206374,66544.98130631144,90
26304.14095950305,67353.54472975648,91
26305.764733014097,68154.00429634676,92
26320.311170958772,68944.05055768379,93
26348.752784902143,69721.3296165603,94
26392.04953475509,70483.44312696018,95
26451.14882877429,71227.94829405856,96
26526.985523562238,71952.35787422175,97
26620.48192406723,72654.14017500727,98
26732.547783583377,73330.7190551638,99
26864.080303750583,73979.4739246313,100
27015.964134554575,74597.73974454083,101
27189.07137432688,75182.80702721473,102
27384.261569744827,75731.92183616648,103
27602.38171583157,76242.28578610084,104
27844.26625595605,76711.05604291365,105
28110.73708183303,77135.34532369206,106
28402.60353352307,77512.22189671436,107
28720.66239943255,77838.70958145005,108
29065.697916313642,78111.78774855984,109
29438.48176926434,78328.39131989564,110
29839.77309172844,78485.41076850056,111
30270.318465495537,78579.69211860886,112
30730.851920701043,78608.03694564606,113
31222.094935826182,78567.20237622887,114
31744.75643769797,78453.90108816519,115
32299.532801489255,78264.8013104541,116
32887.10785071866,77996.52682328591,117
33508.152857250636,77645.65695804212,118
34163.326541295435,77208.7265972954,119
34853.20357969625,76682.49316957284,120
35577.294825123085,76066.34872996047,121
36334.458349065986,75359.78309879306,122
37123.383585197575,74562.51543846622,123
37942.55308092533,73674.8264026457,124
38790.24249739149,72697.55813626735,125
39664.5206094731,71632.11427553717,126
40563.24930578199,70480.45994793123,127
41484.08358866482,69245.12177219572,128
42424.47157420304,67929.18785834694,129
43381.65449221289,66536.30780767133,130
44352.6666862454,65070.69271272542,131
45334.33561358643,63537.11515733585,132
46323.28184525662,61940.90921659938,133
47315.91906601141,60287.97045688287,134
48308.45407434104,58584.75593582333,135
49296.88678247055,56838.28420232783,136
50277.01021635979,55056.135296573586,137
51244.41051570339,53246.450750007934,138
52194.46693393079,51417.93358534829,139
53122.35183820624,49579.8483165822,140
54023.56661342378,47740.54904354123,141
54895.25491079394,45905.69784799514,142
55734.85679412528,44081.60619582639,143
56540.03414095248,42274.20015092987,144
57308.676697365576,40488.9942713483,145
58038.90207800992,38731.09160927219,146
58729.05576608621,37005.183711039856,147
59377.711113350495,35315.550617137415,148
59983.669340114146,33666.06086219879,149
60545.95953524389,32060.17147500572,150
61063.838656161795,30500.927978487736,151
61536.791528845235,28990.964389722172,152
61964.53084782697,27532.50321993417,153
62346.99717619507,26127.355474496682,154
62684.358945592976,24776.92065293045,155
62977.012456219425,23482.186748904038,156
63225.58187682851,22243.730250233795,157
63430.91924472969,21061.71613888388,158
63594.10446578772,19935.897890966266,159
63716.445314422745,18865.61747674073,160
63799.519644553184,17849.798166747372,161
63845.7406484589,16886.70025604431,162
63857.05662199753,15974.133963501665,163
63835.13142789664,15109.942680343265,164
63781.60152085699,14292.021409604278,165
63698.07594755258,13518.316766131196,166
63586.13634663066,12786.826976581842,167
63447.33694871168,12095.601879425365,168
63283.204576389355,11442.742924942251,169
63095.23864423059,10826.40317522431,170
62884.911158775554,10244.787304174684,171
62653.66671853763,9696.151597507842,172
62402.92251400343,9178.80395274958,173
62134.06832763282,8691.10387923703,174
61848.46653385887,8231.462498118646,175
61547.452099087874,7798.342542354223,176
61232.33258169939,7390.258356714872,177
60904.38813204618,7005.775897783044,178
60564.871492454244,6643.51273395251,179
60215.00799722281,6302.138045428383,180
59855.99557262434,5980.372624227086,181
59489.00473690453,5676.988874176393,182
59115.1786002823,5390.810810915393,183
58735.53765561166,5120.741999146098,184
58349.71293071801,4866.13089576271,185
57957.93482132003,4626.175277441626,186
57560.801504194314,4399.9972865557365,187
57158.88474704329,4186.760405519089,188
56752.72990849519,3985.669456786898,189
56342.85593810402,3795.970602855541,190
55929.75537634959,3616.951346262558,191
55513.89435463753,3447.940529586652,192
55095.71259529925,3288.3083354476903,193
54675.623411591965,3137.466286506702,194
54254.01370769869,2994.867245465881,195
53831.243978728235,2860.0054150685824,196
53407.64831071521,2732.416338099326,197
52983.53438062004,2611.676897383796,198
52559.18345632893,2497.4053157888357,199
52134.850396653885,2389.2611562224565,200
51710.76365133273,2286.945321633831,201
51287.125261029076,2190.200055013294,202
50864.110857332314,2098.8089393923433,203
50441.869662757665,2012.5968978436426,204
50020.63963248808,1931.1519251326215,205
49600.70572198694,1853.9049307295504,206
49182.20223972997,1780.626699301515,207
48765.25619536395,1711.0994665408903,208
48349.98822642131,1645.114729763484,209
47936.51259832012,1582.4732479085362,210
47524.93720436411,1522.9850415387182,211
47115.36356574265,1466.4693928401337,212
46707.88683153076,1412.7548456223183,213
46302.59577868912,1361.6792053182398,214
45899.57281206404,1313.089538984298,215
45498.893964387484,1266.8421753003247,216
45100.62889627708,1222.8027045695837,217
44704.84089623609,1180.8459787187708,218
44311.58688065341,1140.856111298014,219
43920.91739380362,1102.7264774808732,220
43532.87660784692,1066.3597140643406,221
43147.50232282918,1031.6677194688396,222
42764.82596668189,998.5716537382266,223
42384.87259522222,967.0019385397895,224
42007.666880831144,936.8876179165626,225
41633.25671019535,908.1110034113275,226
41261.65924993997,880.6027046710896,227
40892.88505164439,854.3045450673176,228
40526.94351106258,829.1602605410512,229
40163.84286812304,805.1154996029015,230
39803.590206928915,782.1178233330505,231
39446.19145575792,760.1167053812516,232
39091.65138706235,739.0635319668291,233
38739.973617469084,718.9116018786788,234
38391.16060777961,699.6161264752675,235
38045.21366296997,681.1342296846333,236
37702.13293219083,663.4249480043852,237
37361.9174087674,646.4492305017036,238
37024.5649301995,630.1699388133402,239
36690.07217816156,614.5518471456177,240
36358.43467850255,599.5616422744299,241
36029.64680124606,585.167923545242,242
35703.70176059025,571.3412028730901,243
35380.591614907884,558.0539047425818,244
35060.307266746284,545.2803662078957,245
34742.83846282739,532.9968368927814,246
34428.17379404771,521.1814789905602,247
34116.30069547835,509.814367264124,248
33807.20544636498,498.8774890459361,249
33500.87317012789,488.3547442380311,250
33197.28783436193,478.2319453120147,251
32896.43225083656,468.49681730906383,252
32598.28807549579,459.13899783992656,253
32302.83807003221,450.14476864941616,254
32010.077060763128,441.47203295736614,255
31719.98867630292,433.1053391271281,256
31432.554022629178,425.03539107447426,257
31147.75423254769,417.2530699337651,258
30865.57046569245,409.74943405794943,259
30585.983908525643,402.51571901856437,260
30308.975774337658,395.54333760573513,261
30034.527303247072,388.8238798281753,262
29762.619762200677,382.3491129131868,263
29493.23444497345,376.1109813066597,264
29226.352672168563,370.1016066730724,265
28961.955791217406,364.31328789549156,266
28700.025176379546,358.738501075572,267
28440.542228742765,353.369899533557,268
28183.48837622303,348.2003138082779,269
27928.845073564516,343.2227516571545,270
27676.59380233959,338.4303980561947,271
27426.71607094882,333.81661519999477,272
27179.193414620975,329.37494250173927,273
26934.00739541302,325.0990965932009,274
26691.139602210118,320.9829713247406,275
26450.57165072563,317.0206377653078,276
26212.285183501113,313.2063442024401,277
25976.26186990633,309.5345161422632,278
25742.483406139243,305.9997563094913,279
25510.931515225995,302.5968446474268,280
25281.587947020944,299.32073831796004,281
25054.434478206647,296.16657170157026,282
24829.45291229385,293.1296563973244,283
24606.625079621506,290.205481222878,284
24385.932837356755,287.3897122144747,285
24167.35806949495,284.6781926269465,286
23950.882686859633,282.06694293371356,287
23736.488627102543,279.5521608267843,288
23524.157854703622,277.13022121675556,289
23313.872360971014,274.79767623281236,290
23105.61416404105,272.55125522272806,291
22899.365308878274,270.38786475286395,292
22695.107867275412,268.30458860817015,293
22492.8239378534,266.2986877921844,294
22292.495646061372,264.3676005270334,295
22094.105144176654,262.50894225343154,296
21897.63461130478,260.72050563068177,297
21703.066253379464,259.0002605366751,298
21510.38230316264,257.3463540678912,299
21319.565020244434,255.75711053939744,300
21130.59669104316,254.23103148484998,301
20943.45962880534,252.76679565649277,302
20758.136173605693,251.3632590251587,303
20574.608503894713,250.0195821019003,304
20392.858053667776,248.7359233777581,305
20212.868543504388,247.51157180121822,306
20034.62422022042,246.3455964119503,307
19858.109428305936,245.23708466362234,308
19683.308609925196,244.1851424239007,309
19510.206304916654,243.18889397445005,310
19338.78715079296,242.2474820109335,311
19169.035882740965,241.36006764301248,312
19000.937333621718,240.52583039434683,313
