subclone_1,subclone_2,subclone_3,total_tumor,days
21320.0,45651.0,33029.0,100000.0,1
21359.73846934955,45716.04865224956,32879.447254846025,99955.23437644515,2
21399.30692906733,45778.43292440486,32652.016956739633,99829.75681021182,3
21438.70397900296,45838.01377614017,32324.22667182264,99600.94442696575,4
21477.928336892957,45894.64629900515,31866.65890928566,99239.23354518377,5
21516.978871640906,45948.17918840159,31246.395133081594,98711.55319312408,6
21555.854606089593,45998.45465318966,30427.723285285614,97982.03254456486,7
21594.55463741551,46045.30802479165,29379.4913814561,97019.35404366326,8
21633.07839966862,46088.56837377672,28061.626033052187,95783.27280649752,9
21671.425579027895,46128.05804638257,26437.892747603724,94237.37637301418,10
21709.595727983888,46163.591141329714,24507.50588141042,92380.69275072403,11
21747.58826176419,46194.973495240265,22305.420441643662,90247.98219864813,12
21785.40245833344,46222.00268263793,19902.332086346534,87909.7372273179,13
21823.03747515038,46244.46781422758,17394.32075738792,85461.82604676588,14
21860.491635938906,46262.147894473645,14884.566884913482,83007.20641532603,15
21897.76247040108,46274.81203009613,12477.868874383355,80650.44337488056,16
21934.84729785158,46282.22003043831,10256.200033002247,78473.26736129212,17
21971.743235574486,46284.122411335076,8278.180288547452,76534.045935457,18
22008.447198823305,46280.26039511292,6579.076189368856,74867.78378330509,19
22044.955900820954,46270.36591058996,5170.800904388951,73486.12271579987,20
22081.265847921368,46254.161660713115,4032.9944583823385,72368.42196701682,21
22117.3737799484,46231.36219418095,3123.05827725941,71471.79425138875,22
22153.276699689406,46201.67390442769,2406.9102121370656,70761.86081625416,23
22188.97165621269,46164.79462186848,1850.024466933779,70203.79074501495,24
22224.455820705596,46120.413951405804,1418.7075097908726,69763.57728190227,25
22259.72664662996,46068.214113305374,1086.5246222282422,69414.46538216357,26
22294.781655083818,46007.8698297916,832.1629509644423,69134.81443583986,27
22329.61841073219,45939.04850348033,637.9127643337918,68906.5796785463,28
22364.2345678385,45861.410668510885,490.7730437577219,68716.41828010711,29
22398.627807628778,45774.61075812957,377.7934983207849,68551.03206407913,30
22432.795827261903,45678.29791602268,288.17623290686845,68399.26997619146,31
22466.736455876216,45572.116823698285,218.68646644882688,68257.53974602332,32
22500.44756933476,45455.70801169898,169.04456936107178,68125.20015039481,33
22533.92688831778,45328.70895765687,131.136269015598,67993.77211499024,34
22567.172206535954,45190.755907698025,101.22315972398955,67859.15127395796,35
22600.181351833875,45041.48511780028,77.72498554152287,67719.39145517569,36
22632.952170515226,44880.53327225985,60.4123120119338,67573.897754787,37
22665.48246453683,44707.53964166642,47.21832210484301,67420.2404283081,38
22697.77004672938,44522.147864169856,37.005704274214594,67256.92361517345,39
22729.812731002763,44324.0087309232,29.04552203398756,67082.86698395995,40
22761.608328597187,44112.78042351416,22.826158730868464,66897.21491084222,41
22793.154646582407,43888.13112827968,17.968894073213622,66699.2546689353,42
22824.44948716648,43649.74162583401,14.181612674401547,66488.37272567488,43
22855.490647286824,43397.308673402,11.230173591433383,66264.02949428026,44
22886.275918137315,43130.54620766172,8.91173125482531,66025.73385705386,45
22916.80308577573,42849.18773035994,7.077490866090979,65773.06830700177,46
22947.06993126642,42552.98954047958,5.633951846695336,65505.6934235927,47
22977.074229868573,42241.734737042665,4.498467333684924,65223.307434244925,48
23006.813751124417,41915.23488959039,3.599706178968891,64925.64834689378,49
23036.286259004875,41573.332344566916,2.8825900885689686,64612.50119366036,50
23065.48951201134,41215.9034799911,2.3129396291493682,64283.705931631586,51
23094.421262926557,40842.862995118754,1.8616798529976735,63939.14593789831,52
23123.079258843307,40454.166559096586,1.5029613775070665,63578.7487793174,53
23151.461241170993,40049.81115076801,1.2144957811561146,63202.48688772015,54
23179.564945688537,39629.839502201576,0.9822333673300956,62810.38668125744,55
23207.388102419172,39194.34204832756,0.7962668949703408,62402.526417641704,56
23234.9284356197,38743.4604782015,0.6474751485667635,61979.03638896976,57
23262.18366379188,38277.38843512935,0.5277751634045148,61540.09987408463,58
23289.15149967095,37796.371996231435,0.4304294476949964,61085.95392535008,59
23315.829650105654,37300.71308718897,0.3514687047168893,60616.894205999335,60
23342.215816019438,36790.769720180564,0.28768297921183356,60133.27321917922,61
23368.307692431797,36266.9561235863,0.2361492042678034,59635.49996522236,62
23394.102968458017,35729.74280848451,0.19427289600134545,59124.04004983853,63
23419.59932729291,35179.65617906541,0.1599124230942129,58599.41541878141,64
23444.794446062246,34617.278376399496,0.1318156125175981,58062.20463807426,65
23469.685995886306,34043.24544435802,0.1088907763294913,57513.04033102065,66
23494.2716419699,33458.24333719646,0.0901594692722744,56952.60513863563,67
23518.549043603354,32863.007753682316,0.07477358173879008,56381.63157086741,68
23542.515854200257,32258.32091109888,0.06207627638855635,55800.89884157552,69
23566.169721237253,31645.00905139739,0.05162268353248173,55211.23039531817,70
23589.50828654672,31023.935309782733,0.0430189623202387,54613.486615291775,71
23612.52918646644,30395.995175093296,0.03592031510078047,54008.56028187484,72
23635.23005187838,29762.11571321121,0.03004965080419964,53397.37581474039,73
23657.608508500554,29123.247128879455,0.02528512592724211,52780.88092250594,74
23679.66217663122,28480.36423112564,0.021258607103179502,52160.047666363964,75
23701.388672178364,27834.449561345973,0.017705038298884937,51535.855938562636,76
23722.785606864258,27186.489829071215,0.014556296942090999,50909.289992232414,77
23743.850588225476,26537.475911966703,0.011941193921389683,50281.338441386106,78
23764.58121982533,25888.39981484942,0.009905869865561705,49652.99094054462,79
23784.97510206788,25240.239942134463,0.007945191119206378,49025.222989393464,80
23805.02983228623,24593.96192629679,0.006551827736538028,48398.99831041075,81
23824.74300600171,23950.506494468165,0.005951352147965037,47775.25545182202,82
23844.112217023598,23310.788295000664,0.0059690989242445975,47154.90648112319,83
23863.135057505202,22675.695538073287,0.0,46538.83059557849,84
23881.80911911514,22046.080881624017,0.0,45927.89000073916,85
23900.131993300394,21422.758234446057,0.0,45322.89022774645,86
23918.1012726418,20806.498095734336,0.0,44724.59936837613,87
23935.714551257886,20198.025534056407,0.0,44133.74008531429,88
23952.969467704206,19598.130395449312,0.0,43551.09986315352,89
23969.863975116914,19008.360326455986,0.0,42978.224301572904,90
23986.395648917052,18429.231551910627,0.0,42415.62720082768,91
24002.561977394816,17860.966944759966,0.0,41863.52892215479,92
24018.36046911001,17303.771496150872,0.0,41322.13196526088,93
24033.78865289207,16757.83231543034,0.0,40791.620968322415,94
