effector_pop,total_tumor_pop,days
1000.0,100000.0,1
1090.4600666678584,100898.53957624282,2
1188.4125944418142,101789.98071186156,3
1294.5208299020092,102672.7839932063,4
1409.5540037157857,103545.19679403797,5
1534.3880461691979,104405.22889225355,6
1669.9632172561726,105250.71412888411,7
1817.2841066785138,106079.31040809475,8
1977.419633845899,106888.49969718467,9
2151.5030478758813,107675.58802658707,10
2340.731927593889,108437.70548986929,11
2546.3681815332257,109171.80624373263,12
2769.738047935068,109874.66850801253,13
3012.232094748471,110542.89456567846,14
3275.305219630361,111172.91076283394,15
3560.0531741924083,111761.90330709604,16
3866.5120643258465,112309.34684350852,17
4197.281552170419,112808.9498417752,18
4554.9067561194615,113254.43360329025,19
4941.5075844145695,113640.35179421255,20
5358.778735145588,113962.09044546577,21
5807.989696250617,114215.86795273834,22
6289.984745516014,114398.73507648334,23
6805.182950576386,114508.57494191875,24
7353.578168914598,114544.10303902716,25
7934.739047861764,114504.86722255597,26
8547.809024597258,114391.24771201731,27
9191.506326148705,114204.45709168808,28
9864.123969391985,113946.54031060988,29
10563.52976105123,113620.3746825891,30
11287.166297698828,113229.66988619685,31
12032.050965755427,112778.967964769,32
12795.00289613826,112273.11551210743,33
13573.865008380813,111714.99030894606,34
14366.228915816795,111108.84144383595,35
15169.860863648759,110458.64742146709,36
15982.824695436742,109767.78540076877,37
16803.481853098267,109039.0311949095,38
17630.49137690835,108274.5592712971,39
18462.809905499475,107475.94275157861,40
19299.69167586162,106644.15341164038,41
20140.688523342258,105779.56168160794,42
20985.649881646328,104881.93664584623,43
21834.722782836267,103950.44604295932,44
22688.35185733199,102983.65626579057,45
23547.279333910912,101979.53236142267,46
24412.545039707908,100935.4380311775,47
25285.48640021536,99848.13563061625,48
26167.738439283123,98713.78616953932,49
27061.46789710402,97527.54534403778,50
27970.8871274995,96280.74662108769,51
28898.843014327962,94966.72223358767,52
29847.334460507096,93580.33116444116,53
30817.881695074226,92117.35931488816,54
31811.52627318632,90574.51950450527,55
32828.83107611996,88949.45147120566,56
33869.880311271394,87240.72187123907,57
34934.27951215647,85447.82427919189,58
36021.155538410705,83571.17918798701,59
37129.156575789224,81612.13400888395,60
38256.61622798607,79572.68377624732,61
39401.33224198521,77455.94779463124,62
40559.672594557516,75267.78864786358,63
41727.70857547401,73014.82569210816,64
42901.29301080783,70704.29855124935,65
44076.06026293419,68344.06711689198,66
45247.426230530386,65942.61154836143,67
46410.58834857581,63509.03227270361,68
47560.52558835196,61053.04998468494,69
48691.99845744239,58585.005646792364,70
49799.54899973275,56115.86048923331,71
50877.930814327265,53656.280046461135,72
51922.60524347723,51215.80078071089,73
52929.0084889384,48804.368134258504,74
53893.057935119825,46431.10721594723,75
54811.163351924726,44104.2975081,76
55680.226894750565,41831.37286651948,77
56497.643104489034,39618.92152048804,78
57261.29890752601,37472.68607276775,79
57969.57361574163,35397.56349960042,80
58621.33892651024,33397.60515070754,81
59215.9589227004,31476.01674929033,82
59753.21886841777,29635.250996902858,83
60233.43716105598,27876.625133155212,84
60657.6407907372,26200.105711735938,85
61027.04224698673,24605.261873765645,86
61343.01369980125,23091.30809926329,87
61607.08699964877,21657.104207146178,88
61820.95367746863,20301.155355229977,89
61986.46494467152,19021.612040228698,90
62105.63169313949,17816.27009775471,91
62180.62449522592,16682.57070231874,92
62213.77360375553,15617.60036732984,93
62207.56895202439,14618.090945095453,94
62164.482344632546,13680.778811919077,95
62086.67236785587,12802.805792482935,96
61976.38680165805,11980.932657103062,97
61835.79538643863,11212.026748648335,98
61666.98332207027,10493.077044518583,99
61471.951267898774,9821.194156644564,100
61252.61534274309,9193.610331487977,101
61010.80712489529,8607.67945004145,102
60748.273652120595,8060.877027828569,103
60466.67742165734,7550.8002149038275,104
60167.59639021703,7075.167795852685,105
59852.52397398428,6631.820189791519,106
59522.86904861685,6218.71945036765,107
59180.03833580842,5833.772899131774,108
58825.46479374122,5474.669888479717,109
58460.240009995505,5139.682802803536,110
58085.386366672064,4827.201343255112,111
57701.87444839912,4535.698781674152,112
57310.623042332256,4263.731960588183,113
56912.4991381545,4009.9412932125574,114
56508.31792807624,3773.050763450445,115
56098.84280683526,3551.867925892845,116
55684.785371696766,3345.283905818572,117
55266.80542245333,3152.2733991942673,118
54845.51096142495,2971.894672674393,119
54421.458193459,2803.289563601234,120
53995.151525930254,2645.683480004898,121
53567.047048372275,2498.377434110293,122
53137.64973246486,2360.505250886223,123
52707.35901178634,2231.362589668283,124
52276.50273104418,2110.3878698873054,125
51845.39210686977,1997.046452603604,126
51414.3217278184,1890.8306405069711,127
50983.5695543693,1791.2596779166793,128
50553.39691892559,1697.8797507814802,129
50124.048525814316,1610.2639866796062,130
49695.752451286455,1528.0124548187673,131
49268.72014351687,1450.752166036155,132
48843.14642260435,1378.1370727984386,133
48419.20948057162,1309.8480692017686,134
47997.07088136529,1245.5929909717738,135
47576.87556085591,1185.1066154635632,136
47158.75182683793,1128.1506616617255,137
46742.81237930119,1074.5113080939586,138
46329.1765205754,1023.9387579911636,139
45917.93342197118,976.2308098459577,140
45509.15546504771,931.2198191310682,141
45102.91071096468,888.7453601855045,142
44699.26290048231,848.6542262145575,143
44298.27145396135,810.8004292897998,144
43899.99147136306,775.0452003490856,145
43504.47373224924,741.2569891965508,146
43111.76469578218,709.3114645026127,147
42721.90650072472,679.0915138039708,148
42334.936965440225,650.4872435036058,149
41950.88958789257,623.3959788707804,150
41569.793545646135,597.7222640410383,151
41191.673695865866,573.3778620162057,152
40816.5505753172,550.2817546643897,153
40444.44040036609,528.3601427199798,154
40075.35506697904,507.54644578364656,155
39709.30215072306,487.7813023223422,156
39346.28921265552,469.0016812716312,157
38986.32214662832,451.1419936418297,158
38629.39806895165,434.15522108677595,159
38275.51315116044,417.99629232811566,160
37924.66271890986,402.62185215563244,161
37576.84125197526,387.99026142724864,162
37232.04238425223,374.0615970690248,163
36890.25890375653,360.7976520751598,164
36551.482752624164,348.16193550799085,165
36215.70502711132,336.1196724979936,166
35882.9159775944,324.6378042437819,167
35553.105008570026,313.68498801210814,168
35226.26067865502,303.23159713786293,169
34902.3707005864,293.2497210240752,170
34581.421941221415,283.71316514191227,171
34263.40042153751,274.59745103067996,172
33948.291316632334,265.87981629782223,173
33636.078955723744,257.53921461892133,174
33326.74682214983,249.55631573769816,175
33020.277553368855,241.9135054660118,176
32716.65294095932,234.59488568385964,177
32415.853930619905,227.58627433937733,178
32117.861942296167,220.87173828072122,179
31822.65913856279,214.43266764885328,180
31530.22508053882,208.25715192295553,181
31240.53925152127,202.33381384934506,182
30953.58112747566,196.65162917687454,183
30669.330177036063,191.19992665693204,184
30387.76586150506,185.96838804344105,185
30108.86763485379,180.94704809286074,186
29832.6149437219,176.12629456418549,187
29558.98722741758,171.49686821894528,188
29287.963917917543,167.04986282120558,189
29019.52443986705,162.7767251375673,190
28753.648210579868,158.66925493716676,191
28490.31464003832,154.71960499167582,192
28229.503130893238,150.92028107530183,193
27971.193078464003,147.2641419647875,194
27715.36387073852,143.74439943941118,195
27461.99488837322,140.35461828098653,196
27211.065504693077,137.08871627386267,197
26962.555085691587,133.9409642049244,198
26716.442990030773,130.90598586359172,199
26472.708569041206,127.97875804182031,200
26231.331166721968,125.15461053410118,201
25992.290119740683,122.42922613746086,202
25755.564757433516,119.7986406514614,203
25521.134401805135,117.25924287820021,204
25288.97836752877,114.80777462231028,205
25059.075961946157,112.44133069095997,206
24831.406448827845,110.15610229805834,207
24605.94939562067,107.94686607677774,208
24382.68483767008,105.81102259559862,209
24161.592944210395,103.746125843984,210
23942.65401055787,101.74978526569029,211
23725.84845811068,99.8196657587671,212
23511.156834348913,97.95348767555737,213
23298.55981283459,96.14902682269732,214
23088.03819321165,94.40411446111648,215
22879.57290120597,92.7166373060376,216
22673.144988625343,91.08453752697679,217
22468.735633359476,89.50581274774343,218
22266.326139380013,87.97851604644019,219
22065.89793674052,86.50075595546299,220
21867.432581576482,85.07069646150109,221
21670.911756105314,83.686557005537,222
21476.317268626346,82.34661248284655,223
21283.631053520847,81.04919324299883,224
21092.835171251994,79.7926850898562,225
20903.911808364897,78.5755292815744,226
20716.843277486594,77.39622253060239,227
20531.61201732603,76.25331700368237,228
20348.200592674097,75.14542032184993,229
20166.591694403593,74.07119556043386,230
19986.768139469244,73.02936124905634,231
19808.71287090771,72.01869137163271,232
19632.40895783756,71.0380153663717,233
19457.8395954593,70.08621812577532,234
19284.98810505535,69.16223999663877,235
19113.83793399006,68.26507678005068,236
18944.372655709707,67.39377973139285,237
18776.575969742484,66.54745556034045,238
18610.431701698508,65.7252664308619,239
18445.923803269827,64.92642996121889,240
18283.03635223041,64.15021922396642,241
18121.75355243615,63.3959627459528,242
17962.059733824863,62.6630445083196,243
17803.939352416288,61.95090394650168,244
17647.376990312096,61.2590359502272,245
17492.3560381273,60.586710274369054,246
17338.855039465343,59.93209997457567,247
17186.85929385399,59.29468738958862,248
17036.355210814327,58.67416893074127,249
16887.329280547852,58.07024355016121,250
16739.768073936506,57.4826127407702,251
16593.658242542635,56.9109805362842,252
16448.986518609006,56.35505351121337,253
16305.73971505882,55.81454078086207,254
16163.904725495686,55.28915400132881,255
16023.468524203636,54.778607369506354,256
15884.41816614713,54.28261762308161,257
15746.740786971046,53.80090404053571,258
15610.42360300068,53.33318844114397,259
15475.453911241746,52.87919518497588,260
15341.819089380391,52.43865117289516,261
15209.506595783174,52.011285846559694,262
15078.503969497076,51.59683118842157,263
14948.798830249501,51.195021721727066,264
14820.378878448277,50.80559451051667,265
14693.231895181641,50.428289159625024,266
14567.345742218267,50.062847814681,267
14442.708362007243,49.70901516210765,268
14319.30777767807,49.36653842912223,269
14197.132093040686,49.03516738373615,270
14076.169492585435,48.71465433475508,271
13956.408241483094,48.40475413177882,272
13837.836685584854,48.105224165201406,273
13720.44325142233,47.81582436621104,274
13604.216446207556,47.53631720679012,275
13489.144857832987,47.26646769971526,276
13375.217154871505,47.00604339855724,277
13262.422086576402,46.75481439768105,278
13150.748482881401,46.51255333224588,279
13040.185254400643,46.27903537820508,280
12930.721392428688,46.05403825230623,281
12822.34596894052,45.83734221209107,282
12715.048136591544,45.628730055895566,283
12608.81712871758,45.42798712284987,284
12503.642259334874,45.234901292878305,285
12399.5129231401,45.049262986699404,286
12296.418595510338,44.87086516582589,287
12194.348832503107,44.69950333256469,288
12093.293270856324,44.5349755300169,289
11993.241627988351,44.377082342077834,290
11894.183701997956,44.22562689343698,291
11796.109371664332,44.08041484957804,292
11699.008596447095,43.94125441677889,293
11602.87141648628,43.8079563421116,294
11507.687952602342,43.68033391344245,295
11413.448406296162,43.55820295943191,296
11320.143059749036,43.441381849534615,297
11227.762275822684,43.32969149399943,298
11136.296498059248,43.22295534386939,299
11045.73625068129,43.12099939098173,300
10956.072138591793,43.02365216796789,301
10867.294847374164,42.930744748253474,302
10779.395143292222,42.84211074605832,303
10692.363873290215,42.757586316396406,304
10606.191964992815,42.677010155075955,305
10520.870426705107,42.60022349869937,306
10436.390347412596,42.52707012466322,307
10352.742896781225,42.4573963511583,308
10269.919325157334,42.391051037169575,309
10187.9109635677,42.32788558247621,310
10106.709223719517,42.26775392765158,311
10026.30473480871,42.210587551282,312
9946.681497483038,42.15700606232479,313
9867.830974813953,42.107181568314175,314
9789.746824247099,42.06111704592203,315
9712.422729145032,42.01881509552095,316
9635.852398787221,41.98027794118421,317
9560.029568370057,41.94550743068581,318
9484.947999006838,41.91450503550044,319
9410.601477727776,41.88727185080351,320
9336.983817480004,41.86380859547113,321
9264.088857127563,41.844115612080095,322
9191.91046145141,41.82819286690793,323
9120.44252114942,41.816039949932865,324
9049.678952836379,41.807656074833815,325
8979.613699043985,41.8030400789904,326
8910.240728220855,41.80219042348297,327
8841.554034732519,41.80510519309255,328
8773.54763886142,41.8117820963009,329
8706.215586806917,41.82221846529045,330
8639.551950685283,41.83641125594437,331
8573.550828529704,41.8543570478465,332
8508.206344290282,41.87605204428141,333
8443.512647834033,41.90149207223436,334
8379.463914944889,41.93067258239134,335
