subclone_1,subclone_2,subclone_3,subclone_4,subclone_5,total_tumor,days
655.0,25455.0,45055.0,18582.0,10253.0,100000.0,1
657.1969710492768,25535.065107723858,45195.09479136591,18563.444806705986,10281.707083813379,100232.50876065841,2
659.4012613788777,25615.10243620217,45334.88809851673,18525.551241747937,10310.19178663809,100445.1348244838,3
661.6129000528236,25695.109174296857,45474.36078899198,18465.02032943613,10338.450371507019,100634.55356428481,4
663.8319169930502,25775.082496118353,45613.493281828094,18377.585866758396,10366.479081303994,100796.47264300188,5
666.0583434120922,25855.01957499085,45752.26550961816,18258.410271536788,10394.274146450605,100926.02784600851,6
668.2922119227223,25934.917586568812,45890.65689648082,18102.352787454085,10421.831786997778,101018.05126942422,7
670.5335565379515,26014.773708837012,46028.646358060214,17903.969484053763,10449.148212625778,101067.0713201147,8
672.7824126710284,26094.585122110493,46166.21230152603,17657.51325674001,10476.21962264421,101067.31271569178,9
675.0388171343163,26174.349008990106,46303.332625469746,17356.934882407844,10503.042205975215,101012.69753997723,10
677.3028046882895,26254.062416864046,46439.98438355685,16999.270543559684,10529.612089840013,100900.23223850889,11
679.5744165260817,26333.722590020163,46576.14448831877,16577.696012737586,10555.925468031886,100723.06297563449,12
681.8536989047001,26413.32691560368,46711.78958772003,16083.427266805384,10581.978580466772,100472.37604950057,13
684.1406969832468,26492.872680115808,46846.895506050074,15511.517793258541,10607.767620874998,100143.19429728267,14
686.4354548229192,26572.357069413752,46981.437243923276,14860.858590224165,10633.288736801285,99734.3770951854,15
688.7380153870095,26651.777168710705,47115.38897827891,14134.178166460993,10658.538029604752,99248.62035844236,16
691.0484205409049,26731.129962575837,47248.72406238117,13338.042541359408,10683.5115544589,98692.45654131622,17
693.3667110520879,26810.412334934324,47381.41502581916,12482.855244941416,10708.205320351637,98076.25463709862,18
695.6929265901359,26889.62106906732,47513.43357450689,11582.857317860673,10732.615290085252,97414.22017811026,19
698.0271057267214,26968.75284761197,47644.7505906833,10656.127311402459,10756.737380276434,96724.39523570088,20
700.3692872981528,27047.804300613578,47775.33607252094,9721.100302356424,10780.56748899442,96025.17745178351,21
702.7194995783271,27126.771587851457,47905.15846342708,8792.50342031159,10804.101325241998,95331.25429641045,22
705.0777613285059,27205.65044538756,48034.184885639195,7885.799939029023,10827.334419496483,94658.04745088077,23
707.4440905034244,27284.436515082816,48162.381465086546,7014.289255971422,10850.26227048943,94018.81359713365,24
709.8185042974852,27363.125346324705,48289.713332474465,6189.0745021726225,10872.88034601143,93424.6120312807,25
712.2010191447577,27441.712396027266,48416.144623284374,5419.062542237598,10895.184082912127,92884.30466360612,26
714.5916507189778,27520.193028631104,48541.63847777374,4710.96397434246,10917.168887100197,92404.55601856648,27
716.9904139335489,27598.562516103364,48666.157040976126,4069.293130234455,10938.830133543364,91989.83323479086,28
719.3973229415408,27676.81603793777,48789.66146270116,3496.3680752319706,10960.163166268398,91642.40606508082,29
721.8123911356903,27754.948681154587,48912.111897534545,2992.310608224536,10981.163298361105,91362.34687641046,30
724.2356311484012,27832.955440300644,49033.46750483807,2555.0462616728064,11001.825811966339,91147.53064992625,31
726.6670533029369,27910.83115536254,49153.68625677109,2178.3776133764213,11022.14594067515,90991.70801948814,32
729.106669397007,27988.570653812876,49272.72508182095,1852.9057336237702,11042.11893496332,90885.42707361793,33
731.5544973147056,28066.168932527282,49390.54033938947,1573.1479467021854,11061.740120153334,90823.15183608697,34
734.0105553773446,28143.620936741056,49507.08730418508,1333.9551368968177,11081.004818854446,90799.67875205475,35
736.4748622168637,28220.921555061126,49622.32015347277,1130.4001843622425,11099.90834931515,90810.02510442815,36
738.9474367758299,28298.065619466062,49736.191967074024,957.7779651224605,11118.446025423167,90849.42901386153,37
741.428298330411,28375.04790617022,49848.65472850903,811.6129206824943,11136.613157078073,90913.35701077023,38
743.9174699458389,28451.863265573593,49959.65950088781,688.5340599817681,11154.4051063063,90998.37940269531,39
746.4149751341564,28528.506494987316,50069.15623139921,584.6958751322661,11171.817236034107,91100.59081268706,40
748.9208365843025,28604.972288645644,50177.0936166089,496.2819268471176,11188.84489370699,91216.11356239296,41
751.4350784533372,28681.255323634658,50283.419206135695,420.4705497327317,11205.483448940771,91342.0636068972,42
753.9577263664414,28757.350259892275,50388.07940265155,355.43485228879655,11221.728293521595,91476.55053472066,43
756.488807416917,28833.251740208245,50491.01946188158,300.3427169082797,11237.574841405925,91618.67756782095,44
759.0283495375766,28908.954366055405,50592.18344404175,254.92966768820068,11253.018520183721,91768.11434750666,45
761.5763763601003,28984.452499146653,50691.5138150365,215.77438360054228,11268.054701594057,91921.37177573785,46
764.1329170998654,29059.74063915682,50788.95217323761,182.82752227810073,11282.67884038207,92078.33209215445,47
766.6980015941043,29134.81323271064,50884.43883167076,156.491011288278,11296.886410900519,92239.32748816432,48
769.2716583566861,29209.66459865132,50977.91266561913,136.34757960898907,11310.672880925327,92403.86938316145,49
771.8539145781156,29284.288928040558,51069.31111262331,121.16075762866137,11324.033711655578,92570.64842452623,50
774.444796125534,29358.6802841585,51158.57017248137,108.87487714623549,11336.964357713528,92737.53448762518,51
777.0443275427185,29432.832602503797,51245.62440724881,96.61507137116445,11349.460267144588,92901.57667581108,52
779.6525362848819,29506.739850182625,51330.40720977462,83.1510984370793,11361.516947779724,93061.46764245894,53
782.2694573715182,29580.396200388717,51412.85110201722,71.59522739716745,11373.130040896634,93220.24202807125,54
784.8951201557122,29653.795532120876,51492.88687075082,61.69020768581278,11384.29512243858,93377.5628531518,55
787.5295540229789,29726.931643932006,51570.4439127326,53.1242613806623,11395.007796352356,93533.0371684206,56
790.1727886526116,29799.798263760866,51645.450251082526,45.68317600820374,11405.263698723911,93686.3681782281,57
792.824854017682,29872.38904893206,51717.83253528342,39.25030454376559,11415.058497778355,93837.35524055529,58
795.4857803850402,29944.697586156053,51787.516041180905,33.806565411517155,11424.38789387996,93985.89386701348,59
798.1555980471683,30016.71738047204,51854.42467041238,29.279951955693683,11433.247620087164,94131.82522097444,60
800.8343370479446,30088.441843541732,51918.480955355524,25.38891622512197,11441.633443086337,94274.77949525666,61
803.5220279076261,30159.864321793924,51979.60609483387,22.04437926747613,11449.541170800145,94414.57799460305,62
806.2187013043192,30230.978082677615,52037.71996696074,19.17038877042922,11456.966657432728,94551.05379714584,63
808.9243880627457,30301.77631419503,52092.74112920974,16.69781980432852,11463.90580352868,94684.04545480051,64
811.639119154244,30372.252124901668,52144.58681841466,14.564374822195543,11470.354555973052,94813.39699326582,65
814.3629256968143,30442.398543904892,52193.17295104007,12.714597696263178,11476.308908014653,94938.95792635268,66
817.095838976095,30512.2085204205,52238.41421818477,11.106935914560514,11481.764907559915,95060.59042105585,67
819.837890443024,30581.674923517134,52280.22406872056,9.712882696796367,11486.718655830156,95178.16842120768,68
822.589111690825,30650.790541032504,52318.51476077576,8.504863990464239,11491.166311203735,95291.5655886933,69
825.349534463009,30719.548079030807,52353.19744442688,7.457693776421939,11495.104096213905,95400.65684791103,70
828.1191906533744,30787.94016180273,52384.182161698634,6.548574068891588,11498.52829754881,95505.31838577244,71
830.8981123060064,30855.959331865444,52411.37784656396,5.757094915459607,11501.435266051492,95605.42765170237,72
833.6863316170319,30923.59804997035,52434.69234669054,5.065740525685736,11503.821417686653,95700.86388649026,73
836.4838809548072,30990.848694773642,52454.032701193646,4.46560097505752,11505.683246617533,95791.51412451468,74
839.2907928170159,31057.703561652503,52469.30478705232,3.942508414917101,11507.017310223573,95877.25896016032,75
