total_pop,unique_pop,neoantigen_1,neoantigen_2,neoantigen_3,neoantigen_4,neoantigen_5,neoantigen_6,neoantigen_7,AxR_vals
100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14600513142032
45651.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.78530074181673
13505.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.78530074181673
32146.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.78530074181673
33029.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,50.6197045157415
15357.0,616.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,50.6197045157415
12750.0,435.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.78530074181673
